67,1405-1401-20170105-0016,1405,晋城市,20170105,1401,太原,0016,3053,0.3,0.7,0,112.71211,35.610218,112.32123,37.9596,264,1405,晋城市,1401,太原,迁出
68,1405-4107-20170105-0016,1405,晋城市,20170105,4107,新乡,0016,1171,0.34,0.66,0,112.71211,35.610218,114.093185,35.263073,158,1405,晋城市,4107,新乡,迁出
69,1404-1405-20170105-0016,1404,长治市,20170105,1405,晋城,0016,6310,0.38,0.62,0,112.92147,36.47502,112.71211,35.610218,99,1404,长治市,1405,晋城,迁出
70,1404-3502-20170105-0016,1404,长治市,20170105,3502,厦门,0016,2620,0,0.5,0.5,112.92147,36.47502,118.11762,24.675028,1431,1404,长治市,3502,厦门,迁出
71,1404-1411-20170105-0016,1404,长治市,20170105,1411,吕梁,0016,1388,0.28,0.72,0,112.92147,36.47502,111.26789,37.67888,227,1404,长治市,1411,吕梁,迁出
72,1411-6209-20170105-0016,1411,吕梁市,20170105,6209,酒泉,0016,3813,0,1,0,111.26789,37.67888,96.042755,40.2611,1714,1411,吕梁市,6209,酒泉,迁出
73,1411-1410-20170105-0016,1411,吕梁市,20170105,1410,临汾,0016,3155,0.36,0.64,0,111.26789,37.67888,111.38226,36.227863,162,1411,吕梁市,1410,临汾,迁出
74,1410-1408-20170105-0016,1410,临汾市,20170105,1408,运城,0016,11987,0.36,0.64,0,111.38226,36.227863,111.070335,35.187065,121,1410,临汾市,1408,运城,迁出
75,1410-1404-20170105-0016,1410,临汾市,20170105,1404,长治,0016,2556,0.48,0.52,0,111.38226,36.227863,112.92147,36.47502,173,1410,临汾市,1404,长治,迁出
76,1410-6101-20170105-0016,1410,临汾市,20170105,6101,西安,0016,1944,0.21,0.79,0,111.38226,36.227863,108.79046,34.104885,372,1410,临汾市,6101,西安,迁出
77,1408-1401-20170105-0016,1408,运城市,20170105,1401,太原,0016,8043,0.19,0.81,0,111.070335,35.187065,112.32123,37.9596,338,1408,运城市,1401,太原,迁出
78,1408-1100-20170105-0016,1408,运城市,20170105,1100,北京,0016,5062,0.26,0.62,0.12,111.070335,35.187065,116.41949,40.186707,813,1408,运城市,1100,北京,迁出
79,1408-3100-20170105-0016,1408,运城市,20170105,3100,上海,0016,3866,0.26,0.16,0.58,111.070335,35.187065,121.461624,31.19809,1235,1408,运城市,3100,上海,迁出
80,1409-1406-20170105-0016,1409,忻州市,20170105,1406,朔州,0016,5289,0.26,0.74,0,112.412735,38.882896,112.64382,39.617893,86,1409,忻州市,1406,朔州,迁出
81,1409-6108-20170105-0016,1409,忻州市,20170105,6108,榆林,0016,4798,0.45,0.55,0,112.412735,38.882896,109.569405,38.039055,329,1409,忻州市,6108,榆林,迁出
82,1409-1403-20170105-0016,1409,忻州市,20170105,1403,阳泉,0016,1796,0.34,0.66,0,112.412735,38.882896,113.50356,38.065125,151,1409,忻州市,1403,阳泉,迁出
83,1504-2113-20170105-0016,1504,赤峰市,20170105,2113,朝阳,0016,5767,0.52,0.48,0,118.863495,43.224964,120.02017,41.512302,229,1504,赤峰市,2113,朝阳,迁出
84,1504-1525-20170105-0016,1504,赤峰市,20170105,1525,锡盟,0016,2940,0.61,0.39,0,118.863495,43.224964,115.473564,44.18702,391,1504,赤峰市,1525,锡盟,迁出
85,1504-1502-20170105-0016,1504,赤峰市,20170105,1502,包头,0016,1933,0.21,0.73,0.06,118.863495,43.224964,110.24727,41.54235,974,1504,赤峰市,1502,包头,迁出
86,1503-1508-20170105-0016,1503,乌海市,20170105,1508,巴彦淖尔,0016,1809,0.36,0.64,0,106.85246,39.446697,107.542336,41.443913,235,1503,乌海市,1508,巴彦淖尔,迁出
87,1503-1501-20170105-0016,1503,乌海市,20170105,1501,呼和浩特,0016,1629,0.2,0.76,0.04,106.85246,39.446697,111.509125,40.58843,532,1503,乌海市,1501,呼和浩特,迁出
88,1503-1100-20170105-0016,1503,乌海市,20170105,1100,北京,0016,829,0.11,0.21,0.68,106.85246,39.446697,116.41949,40.186707,1065,1503,乌海市,1100,北京,迁出
